game_id,puzzle_id,puzzle_rating,puzzle_initial_ply,puzzle_url
1IIP19KV,7OnL5,1333,55,https://lichess.org/1IIP19KV#56
McX2n1Fh,sarqf,1426,23,https://lichess.org/McX2n1Fh#24
cQZjJvMN,m7uhX,1539,57,https://lichess.org/cQZjJvMN#58
IKoGtbQc,mvpQT,1506,71,https://lichess.org/IKoGtbQc#72
zqv9bz1n,ttmoO,1012,33,https://lichess.org/zqv9bz1n#34
qyxEBlWb,EGjwI,1270,27,https://lichess.org/qyxEBlWb#28
T3JvE893,NuCPh,1355,43,https://lichess.org/T3JvE893#44
xxuFIl1a,PQPVn,1333,57,https://lichess.org/xxuFIl1a#58
LfjRFotz,oGU70,1335,118,https://lichess.org/LfjRFotz#119
sPNQ3y89,U8c9P,1442,30,https://lichess.org/sPNQ3y89#31
kOL2D4xc,uAvYY,1473,58,https://lichess.org/kOL2D4xc#59
VKvRlxSk,QKwwx,1448,42,https://lichess.org/VKvRlxSk#43
1h7OvMtK,JshAJ,1270,60,https://lichess.org/1h7OvMtK#61
bbD3ag8k,l2wEQ,1120,25,https://lichess.org/bbD3ag8k#26
xsosKf0H,2flZY,1114,85,https://lichess.org/xsosKf0H#86
JDRDDZj2,AVYIc,1171,109,https://lichess.org/JDRDDZj2#110
t9MEjqdk,m1r8o,1271,33,https://lichess.org/t9MEjqdk#34
k9hPzNAD,hOYr5,1415,99,https://lichess.org/k9hPzNAD#100
w3zGTxVn,LeDOP,1316,91,https://lichess.org/w3zGTxVn#92
99s43uo5,enTCk,1519,49,https://lichess.org/99s43uo5#50
sg6fQJA9,U87hs,1113,50,https://lichess.org/sg6fQJA9#51
MEm2MRP6,kiWFn,1181,80,https://lichess.org/MEm2MRP6#81
j88awUJk,Uqf5t,1157,46,https://lichess.org/j88awUJk#47
Jlg4x3u2,Oy84e,1178,96,https://lichess.org/Jlg4x3u2#97
eZ59st28,jNYKk,1275,56,https://lichess.org/eZ59st28#57
pSNbtWVD,hgYe4,1290,68,https://lichess.org/pSNbtWVD#69
5K9xQfs8,QvUd7,1406,96,https://lichess.org/5K9xQfs8#97
VSuofA0h,DEDe6,1099,66,https://lichess.org/VSuofA0h#67
5j6bEhXm,TxH0q,1211,74,https://lichess.org/5j6bEhXm#75
0VSa8mD5,KwcI3,1183,84,https://lichess.org/0VSa8mD5#85
IqUp7LEI,cToEa,1418,50,https://lichess.org/IqUp7LEI#51
1fKORDC7,27Q3b,1402,35,https://lichess.org/1fKORDC7#36
9ICUeKKV,0naMA,1441,25,https://lichess.org/9ICUeKKV#26
NKw20GQD,rQbM6,1347,96,https://lichess.org/NKw20GQD#97
LVGWRr2b,Ocxky,1167,58,https://lichess.org/LVGWRr2b#59
